short_opening_name,opening_name,winner,opening_eco,num_games,white_rating,black_rating,turns
Queen's Gambit Refused,Queen's Gambit Refused: Marshall Defense,draw,D06,2,1652,1702,99
Queen's Gambit Refused,Queen's Gambit Refused: Marshall Defense,white,D06,84,1683,1573,59
French Defense,French Defense: Marshall Variation,white,C10,6,1703,1602,51
Scotch Game,Scotch Game,white,C45,70,1633,1524,52
French Defense,French Defense: Advance Variation |  Main Line,white,C02,7,1800,1778,91
Gruenfeld Defense,Gruenfeld Defense,black,D80,3,1694,1763,76
French Defense,French Defense: Rubinstein Variation |  Fort Knox Variation,white,C10,1,1743,1738,39
Queen's Gambit Declined,Queen's Gambit Declined: Traditional Variation,white,D30,11,1816,1664,65
Queen's Gambit Accepted,Queen's Gambit Accepted: Old Variation,white,D20,62,1704,1553,57
Queen's Gambit Declined,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5,black,D41,4,1870,1708,67
Queen's Gambit Accepted,Queen's Gambit Accepted: Old Variation,black,D20,45,1528,1559,55
Yusupov-Rubinstein System,Yusupov-Rubinstein System,black,A46,11,1726,1776,63
Queen's Gambit Declined,Queen's Gambit Declined: Queen's Knight Variation,white,D31,23,1720,1577,63
Ruy Lopez,Ruy Lopez: Classical Variation,black,C64,16,1512,1561,57
Ruy Lopez,Ruy Lopez: Classical Variation |  Central Variation,black,C64,3,1859,1810,68
Bishop's Opening,Bishop's Opening: Ponziani Gambit,black,C24,7,1601,1560,49
Benoni Defense,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,white,A43,3,1881,2100,64
King's Indian Attack,King's Indian Attack: French Variation,black,A08,5,2036,1706,50
Nimzowitsch Defense,Nimzowitsch Defense: Mikenas Variation,black,B00,4,1650,1626,60
Italian Game,Italian Game,white,C50,62,1562,1425,52
Alekhine Defense #2,Alekhine Defense #2,black,B03,1,1350,1201,118
Sicilian Defense,Sicilian Defense: Nimzowitsch Variation,black,B29,1,1210,1280,66
Four Knights Game,Four Knights Game: Italian Variation,draw,C50,4,1482,1314,84
Italian Game,Italian Game: Two Knights Defense |  Fried Liver Attack,black,C57,9,1437,1535,68
Alekhine Defense,Alekhine Defense: Maroczy Variation,white,B02,10,1447,1452,47
Italian Game,Italian Game: Anti-Fried Liver Defense,white,C55,97,1625,1558,59
Alekhine Defense,Alekhine Defense: Two Pawn Attack |  Lasker Variation,black,B02,1,1228,1266,37
Caro-Kann Defense,Caro-Kann Defense: Exchange Variation,black,B13,29,1683,1832,80
Queen's Pawn Game #2,Queen's Pawn Game #2,white,D00,53,1500,1446,58
Sicilian Defense,Sicilian Defense: Modern Variations |  Main Line,white,B57,9,1598,1645,88
English Opening,English Opening: King's English Variation,white,A20,54,1598,1536,61
Goldsmith Defense,Goldsmith Defense,white,B00,12,1405,1245,44
Nimzo-Indian Defense,Nimzo-Indian Defense,black,E20,17,1683,1886,64
Italian Game,Italian Game: Two Knights Defense |  Fried Liver Attack,white,C57,19,1473,1385,32
Alekhine Defense,Alekhine Defense,black,B02,18,1347,1426,48
Italian Game,Italian Game,draw,C50,12,1575,1534,95
Bogo-Indian Defense,Bogo-Indian Defense: Exchange Variation,white,E11,2,1645,1467,51
Alekhine Defense,Alekhine Defense,white,B02,19,1441,1205,64
Alekhine Defense,Alekhine Defense: Saemisch Attack,black,B02,1,1212,1221,72
King's Knight Opening,King's Knight Opening,black,C40,26,1366,1355,42
Queen's Gambit Declined,Queen's Gambit Declined,black,D30,44,1582,1713,57
French Defense,French Defense: Classical Variation |  Steinitz Variation,white,C11,4,1434,1576,76
Alekhine Defense,Alekhine Defense: Two Pawn Attack,black,B02,6,1652,1741,49
Vienna Game,Vienna Game: Vienna Gambit,white,C28,6,1710,1428,45
Modern Defense,Modern Defense,white,B06,42,1476,1381,62
Scandinavian Defense,Scandinavian Defense: Panov Transfer,black,B01,14,1794,1820,45
Yusupov-Rubinstein System,Yusupov-Rubinstein System,white,A46,9,1588,1685,74
Sicilian Defense,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,white,B30,37,1789,1689,54
Benoni Defense,Benoni Defense,white,A56,2,1747,1812,108
Sicilian Defense,Sicilian Defense: Hyperaccelerated Dragon,white,B27,12,1756,1722,75
Ruy Lopez,Ruy Lopez: Berlin Defense #2,white,C65,33,1626,1521,58
Sicilian Defense,Sicilian Defense: Najdorf |  Lipnitsky Attack,white,B90,14,1841,1727,60
French Defense,French Defense: Knight Variation,white,C00,135,1594,1545,60
Sicilian Defense,Sicilian Defense: Delayed Alapin,black,B50,20,1858,1833,85
Sicilian Defense,Sicilian Defense: Canal-Sokolsky Attack,white,B51,8,1728,1754,77
Amar Opening,Amar Opening,white,E00,8,1668,1776,44
Ruy Lopez,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,white,C70,7,1980,1688,47
Sicilian Defense,Sicilian Defense,white,B50,75,1671,1619,62
Caro-Kann Defense,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,black,B11,3,1842,1853,82
Sicilian Defense,Sicilian Defense: Alapin Variation,black,B22,41,1634,1732,68
Sicilian Defense,Sicilian Defense: French Variation,black,B40,34,1692,1835,75
Paleface Attack,Paleface Attack,black,A45,6,1495,1609,47
Sicilian Defense,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation,black,B31,3,1802,2052,62
Sicilian Defense,Sicilian Defense,draw,B50,10,1642,1726,78
Caro-Kann Defense,Caro-Kann Defense: Classical Variation |  Flohr Variation,black,B18,1,1835,1866,81
Ruy Lopez,Ruy Lopez: Bird Variation,black,C61,19,1495,1592,56
Sicilian Defense,Sicilian Defense: Najdorf Variation |  Adams Attack,white,B90,9,1859,1826,68
Blumenfeld Countergambit #2,Blumenfeld Countergambit #2,black,E10,5,1826,1968,69
Italian Game,Italian Game: Two Knights Defense |  Modern Bishop's Opening,draw,C55,3,1629,1639,55
Ruy Lopez,Ruy Lopez: Morphy Defense #2,white,C78,3,1892,1682,87
Sicilian Defense,Sicilian Defense: Old Sicilian,black,B30,93,1664,1737,63
Caro-Kann Defense,Caro-Kann Defense,white,B10,70,1607,1518,65
Scandinavian Defense,Scandinavian Defense: Mieses-Kotroc Variation,black,B01,89,1482,1533,64
Philidor Defense,Philidor Defense,black,C41,42,1458,1508,64
Sicilian Defense,Sicilian Defense,black,B20,92,1399,1565,53
Sicilian Defense,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,black,B30,30,1578,1666,74
Hungarian Opening,Hungarian Opening,black,A00,66,1459,1576,63
Queen's Pawn Game #3,Queen's Pawn Game #3,white,D00,20,1489,1386,71
Center Game,Center Game: Berger Variation,white,C22,7,1399,1389,57
Italian Game,Italian Game: Giuoco Piano |  Greco's Attack,black,C54,12,1559,1622,63
Ruy Lopez,Ruy Lopez: Exchange Variation,white,C68,24,1495,1375,59
Caro-Kann Defense,Caro-Kann Defense,white,B12,20,1595,1579,75
Ruy Lopez,Ruy Lopez: Morphy Defense |  Tarrasch Variation,black,C77,13,1437,1878,58
Center Game,Center Game: Normal Variation,white,C22,18,1485,1360,71
Philidor Defense #3,Philidor Defense #3,white,C41,127,1562,1466,53
Englund Gambit Declined |  Reversed French,Englund Gambit Declined |  Reversed French,black,A40,21,1454,1534,78
Giuoco Piano,Giuoco Piano,black,C50,56,1535,1637,58
Sicilian Defense,Sicilian Defense: Hyperaccelerated Fianchetto,black,A42,10,1624,1829,56
Ruy Lopez,Ruy Lopez: Morphy Defense |  Caro Variation,white,C70,27,1606,1507,72
Philidor Defense #4,Philidor Defense #4,black,C41,12,1480,1717,81
Petrov's Defense,Petrov's Defense,black,C42,24,1324,1386,53
Queen's Gambit Refused,Queen's Gambit Refused: Chigorin Defense #2,black,D07,2,1676,1444,33
Sicilian Defense,Sicilian Defense: Jalalabad Variation,black,B27,3,1270,1511,42
Italian Game,Italian Game: Anti-Fried Liver Defense,draw,C55,10,1647,1573,103
French Defense,French Defense: Advance Variation |  Milner-Barry Gambit,white,C02,9,1793,1653,61
Sicilian Defense,Sicilian Defense: Open #3,black,B32,16,1713,1745,64
Russian Game,Russian Game: Damiano Variation |  Kholmov Gambit,white,C42,6,1508,1437,54
English Opening,English Opening: Carls-Bremen System,white,A22,7,1726,1726,59
Four Knights Game,Four Knights Game,white,C46,16,1484,1416,72
Pirc Defense #4,Pirc Defense #4,black,B07,36,1515,1590,57
Zukertort Opening,Zukertort Opening: Old Indian Attack,black,A06,8,1729,1727,42
Zukertort Opening,Zukertort Opening: Sicilian Invitation,black,A04,21,1672,1859,59
King's Pawn Game,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit,white,C20,23,1394,1341,45
King's Pawn Game,King's Pawn Game: Maroczy Defense,black,B07,15,1323,1460,45
Russian Game,Russian Game: Damiano Variation,white,C42,32,1485,1336,38
Ruy Lopez,Ruy Lopez: Morphy Defense |  Mackenzie Variation,white,C77,2,1290,1371,11
St. George Defense,St. George Defense,draw,B00,3,1579,1488,75
English Opening,English Opening: King's English Variation |  Two Knights Variation,white,A22,14,1498,1484,56
Ruy Lopez,Ruy Lopez,white,C60,26,1664,1458,59
Philidor Defense #2,Philidor Defense #2,white,C41,89,1493,1425,68
King's Pawn Game,King's Pawn Game: McConnell Defense,black,C40,50,1464,1495,63
Philidor Defense #2,Philidor Defense #2,black,C41,96,1455,1490,73
Scotch Game,Scotch Game,white,C44,75,1542,1384,58
Italian Game,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,black,C50,40,1603,1658,60
Ruy Lopez,Ruy Lopez: Bird Variation,white,C61,16,1576,1461,41
Nimzowitsch Defense,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted,white,B00,3,1413,1458,32
Ruy Lopez,Ruy Lopez: Classical Variation,white,C64,21,1661,1572,54
King's Indian Attack,King's Indian Attack: Keres Variation #2,white,A07,2,1336,1287,105
English Opening,English Opening: Anglo-Scandinavian Defense,white,A10,28,1493,1446,54
Sicilian Defense,Sicilian Defense: Marshall Counterattack,black,B40,2,1428,1488,40
French Defense,French Defense: Advance Variation #4,black,C02,11,1431,1711,60
Ruy Lopez,Ruy Lopez: Morphy Defense |  Caro Variation,black,C70,11,1496,1581,83
Nimzo-Indian Defense #2,Nimzo-Indian Defense #2,white,E20,10,1718,1667,70
Bird Opening,Bird Opening,black,A02,37,1541,1638,38
Sicilian Defense,Sicilian Defense: Open #3,white,B32,18,1643,1632,51
Italian Game,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,white,C58,10,1585,1593,72
Hungarian Opening,Hungarian Opening: Indian Defense,black,A00,8,1619,1662,62
Owen Defense,Owen Defense,white,B00,76,1586,1447,55
Bird Opening,Bird Opening,draw,A03,2,1345,1254,96
Sicilian Defense,Sicilian Defense,white,B54,9,1640,1325,53
Italian Game,Italian Game: Two Knights Defense |  Modern Bishop's Opening,black,C55,27,1545,1630,65
Caro-Kann Defense,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit,white,B12,1,1613,1934,99
Queen's Pawn Game,Queen's Pawn Game: Torre Attack,black,D03,8,1749,1884,70
Queen's Pawn Game,Queen's Pawn Game,black,D00,83,1364,1589,44
Scandinavian Defense,Scandinavian Defense: Icelandic-Palme Gambit,black,B01,14,1809,1869,53
Semi-Slav Defense,Semi-Slav Defense: Noteboom Variation,white,D31,1,1728,1527,33
Ruy Lopez,Ruy Lopez: Exchange Variation |  Normal Variation,black,C69,7,1680,1773,72
King's Pawn Game,King's Pawn Game: Damiano Defense,white,C40,46,1444,1316,50
Queen's Gambit Declined,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation,white,D41,2,1518,1716,59
Nimzo-Indian Defense,Nimzo-Indian Defense: Ragozin Variation,black,E20,16,1798,1880,72
English Opening,English Opening: Symmetrical Variation |  Anti-Benoni Variation,black,A31,2,1538,1856,42
Van't Kruijs Opening,Van't Kruijs Opening,black,A00,226,1311,1494,58
Four Knights Game,Four Knights Game,black,C46,18,1377,1603,58
Semi-Slav Defense,Semi-Slav Defense: Chigorin Defense,draw,D46,1,1611,2059,69
Sicilian Defense,Sicilian Defense: Quinteros Variation,white,B27,1,1611,1478,72
King's Pawn Game,King's Pawn Game: Dresden Opening,black,C44,5,1291,1512,40
English Defense #2,English Defense #2,white,A40,25,1588,1475,57
French Defense,French Defense: Steinitz Attack,white,C00,20,1544,1424,68
King's Gambit Accepted |  Fischer Defense,King's Gambit Accepted |  Fischer Defense,white,C34,6,1557,1416,59
Bird Opening,Bird Opening: Dutch Variation,black,A03,29,1566,1652,63
Bird Opening,Bird Opening,black,A03,6,1650,1668,51
Four Knights Game,Four Knights Game: Gunsberg Variation,white,C46,7,1501,1466,96
Four Knights Game,Four Knights Game: Ranken Variation,draw,C48,2,1459,1482,63
King's Gambit Accepted |  Schallopp Defense,King's Gambit Accepted |  Schallopp Defense,white,C34,15,1702,1555,58
Four Knights Game,Four Knights Game: Spanish Variation |  Classical Variation,white,C48,14,1545,1464,66
Petrov's Defense #5,Petrov's Defense #5,black,C42,1,1630,1605,116
Bird Opening,Bird Opening,white,A02,27,1524,1467,58
King's Pawn Opening,King's Pawn Opening: 2.b3,black,C20,7,1322,1502,67
Russian Game,Russian Game: Cochrane Gambit,white,C42,3,1756,1583,25
Four Knights Game,Four Knights Game: Italian Variation |  Noa Gambit,white,C47,3,1703,1866,28
Russian Game,Russian Game: Urusov Gambit,black,C42,31,1455,1555,53
Polish Opening,Polish Opening,white,A00,31,1652,1564,62
Sicilian Defense,Sicilian Defense: Closed Variation |  Fianchetto Variation,white,B24,4,1781,1710,62
Indian Game,Indian Game: Tartakower Attack,black,A45,8,1730,1709,72
Ruy Lopez,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted,white,C67,9,1704,1470,39
Caro-Kann Defense,Caro-Kann Defense,white,B11,9,1769,1592,62
French Defense,French Defense: Knight Variation,draw,C00,15,1643,1646,97
Ruy Lopez,Ruy Lopez: Cozio Defense,black,C60,17,1555,1613,74
Indian Game,Indian Game: West Indian Defense,draw,E61,2,1705,1803,106
Sicilian Defense,Sicilian Defense,black,B50,86,1616,1732,64
Italian Game,Italian Game: Classical Variation |  Closed Variation,black,C53,1,1636,1619,34
Italian Game,Italian Game: Two Knights Defense |  Traxler Counterattack,black,C57,1,1613,1617,40
Italian Game,Italian Game: Hungarian Defense,black,C50,12,1456,1643,58
Bishop's Opening,Bishop's Opening,white,C23,69,1542,1446,48
Ponziani Opening,Ponziani Opening,white,C44,15,1740,1645,50
Italian Game,Italian Game: Two Knights Defense |  Knight Attack,white,C57,13,1495,1237,30
Petrov's Defense #2,Petrov's Defense #2,black,C42,17,1551,1623,52
Polish Opening,Polish Opening,black,A00,22,1435,1598,54
Scotch Game,Scotch Game: Classical Variation,white,C45,26,1782,1740,53
Sicilian Defense,Sicilian Defense: Najdorf Variation,black,B96,2,1649,1852,77
Italian Game,Italian Game: Classical Variation #2,white,C53,15,1617,1588,45
King's Gambit Accepted |  Fischer Defense,King's Gambit Accepted |  Fischer Defense,black,C34,6,1460,1573,60
Bishop's Opening,Bishop's Opening,black,C23,51,1405,1488,53
Italian Game,Italian Game: Giuoco Piano |  Aitken Variation,white,C54,2,1670,1649,74
King's Indian Attack,King's Indian Attack: Symmetrical Defense,white,A05,7,2041,1853,52
Gruenfeld Defense,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack,black,D92,2,1652,1728,79
Sicilian Defense,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation,white,B21,1,1550,1567,57
Caro-Kann Defense,Caro-Kann Defense: Advance Variation,white,B12,23,1652,1693,67
East Indian Defense,East Indian Defense,black,A49,11,1564,1597,60
Center Game,Center Game: Berger Variation,black,C22,7,1635,1628,71
Zukertort Opening,Zukertort Opening: Queenside Fianchetto Variation,draw,A04,6,1800,1691,50
Queen's Pawn Game #2,Queen's Pawn Game #2,black,D00,58,1370,1524,69
King's Gambit Accepted |  King's Knight Gambit,King's Gambit Accepted |  King's Knight Gambit,black,C37,1,1860,1712,10
Reti Opening,Reti Opening: Reti Accepted,white,A09,8,1794,1645,58
Sicilian Defense,Sicilian Defense: Najdorf Variation,black,B90,14,1752,1920,81
Nimzo-Larsen Attack,Nimzo-Larsen Attack: Modern Variation,black,A01,6,1298,1284,59
King's Pawn Game,King's Pawn Game: Nimzowitsch Defense,black,B00,11,1328,1426,64
English Opening,English Opening: King's English Variation,draw,A20,3,1385,1513,69
Nimzowitsch Defense,Nimzowitsch Defense: Mikenas Variation,white,B00,4,1403,1380,57
Queen's Pawn Game,Queen's Pawn Game: Chigorin Variation,black,D00,20,1409,1449,73
Center Game #2,Center Game #2,white,C21,37,1441,1322,52
French Defense,French Defense: Pelikan Variation,black,C00,1,998,937,80
French Defense,French Defense: Mediterranean Defense,draw,C01,1,1025,1153,89
Queen's Pawn Game,Queen's Pawn Game: Chigorin Variation,black,D02,45,1482,1532,62
Ponziani Opening,Ponziani Opening: Romanishin Variation,black,C44,1,998,1016,8
King's Pawn Game,King's Pawn Game: Wayward Queen Attack,white,C20,74,1395,1295,53
Queen's Pawn Game,Queen's Pawn Game: Symmetrical Variation,black,D02,25,1605,1728,64
Queen's Pawn Game,Queen's Pawn Game: Mason Attack,draw,D00,13,1784,1723,96
King's Knight Opening,King's Knight Opening,white,C40,60,1433,1334,43
Philidor Defense,Philidor Defense: Exchange Variation #2,white,C41,28,1674,1543,54
Ruy Lopez,Ruy Lopez: Closed Variations |  Rosen Attack,black,C88,2,1356,1632,35
Torre Attack #2,Torre Attack #2,white,A46,4,1592,1488,66
Creepy Crawly Formation,Creepy Crawly Formation: Classical Defense,white,A00,2,1298,1387,36
Creepy Crawly Formation,Creepy Crawly Formation: Classical Defense,black,A00,3,1295,1430,63
Italian Game,Italian Game: Giuoco Pianissimo |  Normal,draw,C50,3,1567,1891,120
Sicilian Defense,Sicilian Defense: Accelerated Dragon |  Modern Variation,white,B34,12,1794,1686,53
Elephant Gambit,Elephant Gambit,white,C40,37,1499,1354,41
Nimzo-Larsen Attack,Nimzo-Larsen Attack: Classical Variation,white,A01,15,1634,1615,64
French Defense,French Defense: Tarrasch Variation,black,C03,4,1797,1726,67
Nimzo-Indian Defense,Nimzo-Indian Defense: Ragozin Variation,white,E20,17,1794,1705,60
Caro-Kann Defense,Caro-Kann Defense: Exchange Variation,white,B13,30,1770,1695,60
Caro-Kann Defense,Caro-Kann Defense: Hillbilly Attack,white,B00,18,1511,1415,62
Latvian Gambit,Latvian Gambit,black,C40,3,1663,1496,55
Global Opening,Global Opening,white,A00,1,1462,1464,51
King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,King's Gambit Accepted |  Bishop's Gambit |  Lopez Defense,white,C33,2,1552,1528,69
King's Gambit Accepted |  Bishop's Gambit,King's Gambit Accepted |  Bishop's Gambit,white,C33,7,1760,1688,61
Italian Game,Italian Game: Two Knights Defense,black,C55,14,1440,1561,53
Alekhine Defense,Alekhine Defense: Scandinavian Variation,white,B02,13,1610,1605,41
Modern Defense,Modern Defense: Geller's System,black,B06,3,1788,1819,59
Alekhine Defense,Alekhine Defense,white,B03,4,1664,1483,48
Caro-Kann Defense,Caro-Kann Defense: Accelerated Panov Attack,white,B10,2,1468,1559,44
Alekhine Defense,Alekhine Defense: Scandinavian Variation,black,B02,17,1489,1525,77
Scandinavian Defense,Scandinavian Defense: Modern Variation #2,black,B01,32,1658,1774,56
Indian Game,Indian Game: East Indian Defense,black,E00,10,1574,1832,73
French Defense,French Defense: Steinitz Variation #2,black,C11,2,1882,1711,79
Trompowsky Attack,Trompowsky Attack,white,A45,11,1785,1891,71
Englund Gambit,Englund Gambit,black,A40,15,1425,1561,52
Scandinavian Defense,Scandinavian Defense,draw,B01,10,1369,1398,43
London System,London System,draw,A48,3,1718,1940,152
Modern Defense,Modern Defense,black,A40,43,1591,1639,60
English Opening,English Opening: Caro-Kann Defensive System,white,A11,10,1839,1742,59
Dutch Defense,Dutch Defense: Fianchetto Attack,draw,A81,1,1465,1659,63
Alekhine Defense,Alekhine Defense: Modern Variation |  Main Line,black,B05,2,1378,1356,46
Philidor Defense,Philidor Defense: Hanham Variation,white,C41,5,1633,1605,106
Sicilian Defense #2,Sicilian Defense #2,black,B54,26,1750,1792,65
French Defense,French Defense: Pelikan Variation,white,C00,1,1568,1636,35
French Defense,French Defense: Schlechter Variation,black,C00,6,1655,1724,61
Sicilian Defense,Sicilian Defense: Chekhover Variation,white,B53,12,1872,1808,67
Modern Defense,Modern Defense: Mongredien Defense #2,black,B06,4,1665,1716,74
Slav Defense,Slav Defense,white,D10,15,1564,1356,52
Pirc Defense,Pirc Defense: Classical Variation,black,B08,20,1609,1765,65
Modern Defense,Modern Defense: Three Pawns Attack,white,B06,3,1615,1762,49
King's Gambit Declined |  Queen's Knight Defense,King's Gambit Declined |  Queen's Knight Defense,black,C30,11,1477,1469,47
Modern Defense,Modern Defense,draw,A40,3,1699,1797,86
English Opening,English Opening: Great Snake Variation,black,A10,8,1703,1783,63
English Opening,English Opening: Anglo-Indian Defense,white,A15,16,1749,1726,86
Sicilian Defense,Sicilian Defense: Kan Variation |  Wing Attack,black,B43,8,1859,2024,51
Danish Gambit Accepted |  Classical Defense,Danish Gambit Accepted |  Classical Defense,white,C21,8,1654,1471,52
Mieses Opening,Mieses Opening,black,A00,44,1374,1626,54
Carr Defense,Carr Defense,draw,B00,1,1686,1098,128
French Defense,French Defense: Mediterranean Defense,white,C01,8,1487,1372,48
English Opening,English Opening: Great Snake Variation,white,A10,11,1716,1723,57
English Opening,English Opening: Anglo-Indian Defense,black,A15,14,1552,1769,67
French Defense,French Defense: Marshall Variation,black,C10,12,1524,1689,62
English Opening,English Opening: Great Snake Variation,draw,A10,2,1676,1602,99
